,lat,lon,turbine_type,rotor_diameter,rated_turbine_power,wind_turbines,wind_capacity_MW,PV_capacity_MW,electrolyzer_capacity_MW,CO2_capture_tonph,heatpump_capacity_MW,battery_capacity_MWh,H2stor_capacity_MWh,CO2stor_capacity_ton,H2tL_capacity_MW,curtailed_el_MWh,wind_production_MWh,PV_production_MWh,NPV_EUR,CAPEX_EUR,LCOF_MWh,LCOF_liter,runtime
25,47.5,13.125,N131/3300,131.0,3300.0,7.0,23.1,39.82488293817598,16.62797748592539,1.657887184721741,3.8194030185198273,2.566926004298612,351.3825656259874,338.5854160505954,1.2473732487903553,116.46409672563139,44114.862004378796,40922.384230665164,124543240.97331432,78897644.30543762,760.6878210771246,7.268794734736969,885.2893669605255
26,47.5,13.75,N131/3300,131.0,3300.0,6.0,19.8,25.2876178551886,13.586148768120593,1.3159685794108957,2.962591014573083,0.6981108267576013,254.53728910011785,274.9334105839301,1.2551013571861807,1413.1218816542464,54541.78920393276,31510.851551371878,94989721.18946207,59540896.72709284,580.180212684669,5.543944254542392,942.0666389465332
27,47.5,14.375,N131/3300,131.0,3300.0,6.0,19.8,14.232526076533865,12.675084484722195,1.2457118953370883,2.8034053215838877,0.0,268.7040464812023,252.3261445286754,1.1920031317439912,41.392026621645215,74076.2067386427,14387.134861254817,82863427.3913051,51078200.47616773,506.114980922814,4.83620981770689,930.5417289733887
28,47.5,15.0,N117/2400,117.0,2400.0,7.0,16.8,16.9794705582969,12.21134332523714,1.196854953746898,2.673688748767824,0.0,237.61572383133014,175.17480825882896,1.2210453818996192,5.603447706011621,65565.35116378641,19147.275391157542,78906521.32408391,48620465.364703156,481.94690699958693,4.60527044466272,902.4994549751282
29,47.5,15.625,N117/2400,117.0,2400.0,8.0,19.2,10.82891178074918,12.038849218205705,1.124672252798287,2.498919176053819,0.0,281.96282264629986,429.13944473247045,1.1992387114336611,109.09902454582003,77675.75648098755,11782.790552541786,77073192.72181334,47803064.280904904,470.74926408552153,4.498270745706095,699.8645920753479
30,47.5,16.25,GE120/2500,120.0,2500.0,6.0,15.0,10.506520072292524,10.756733669566554,1.170094365621435,2.545166477641298,0.0,274.2812288043066,720.1126989804575,1.1658571669088635,460.76547098545194,69489.93517361354,13000.578189702264,69079411.89589915,41772232.70468554,421.9246817869472,4.031724737075273,1179.391802072525
31,47.5,16.875,N117/2400,117.0,2400.0,7.0,16.8,11.222299195265748,10.301967803487699,1.0557523293221027,2.328687402890236,0.0,234.09511336436705,415.84444919331406,1.1913091273582106,4217.379645972864,77859.60833392573,13952.618377908655,69293457.8754032,42632439.7232995,423.23203631286754,4.044217235878512,1257.769432067871
32,48.0,12.5,N131/3300,131.0,3300.0,6.0,19.8,20.25714025761691,11.447775260866658,1.2666495646899498,2.859276827972854,0.0,270.06697493709333,586.9031550639866,1.1784780818712421,5421.7393869907,64414.107809580804,24715.938792006757,86821155.89411065,53998436.08908582,530.2880781353641,5.067197191071258,996.9301171302795
33,48.0,13.125,N131/3300,131.0,3300.0,5.0,16.5,24.860924699386114,11.552259220621892,1.276474440417444,2.8788875834887477,0.10262691097812286,266.38766314715707,372.65797175268233,1.197463640931219,39.13148093882332,54879.114683132175,28694.973523214478,86246789.92954077,53667627.21707973,526.7799536424168,5.0336751125830945,978.7531869411469
34,48.0,13.75,N131/3300,131.0,3300.0,5.0,16.5,22.452080058020666,11.440371671572674,1.2264862272483976,2.7519388910022218,0.2619246849573991,208.63364028099016,255.38795872074803,1.2050486085842504,971.3672706339872,58229.089365961554,26498.74283140125,81944243.59530297,50667577.09793456,500.5007708421555,4.782562921380597,1195.5271010398865
35,48.0,14.375,N131/3300,131.0,3300.0,6.0,19.8,22.719779376693637,11.856471050299199,1.4052955540662528,3.182466496546077,0.04981201150120098,253.39418048742158,649.7543363124199,1.1685240055687736,0.0,64161.35907742023,23345.809719946392,90788790.4435013,55817609.899885245,554.5216797071506,5.298762717201662,780.4378252029419
36,48.0,15.0,N131/3300,131.0,3300.0,5.0,16.5,16.220100390209083,10.548284618304084,1.3151865568639391,2.9777920444717103,0.0,200.11415402119204,432.51850644458796,1.1893188178226126,0.0,67352.47578109264,17325.859831427482,75694547.87825605,45308178.93500015,462.32874817563356,4.417808038122721,755.6383330821991
37,48.0,15.625,N117/2400,117.0,2400.0,7.0,16.8,12.870145124044932,10.769968059102894,1.1728312538951742,2.6084028405691178,0.0,185.1040467690816,244.97271012174963,1.241086250647305,1993.9786204649588,72330.2640715642,14491.63064105197,71499698.46767434,43191445.64974976,436.7073589059759,4.172981429545993,962.2165398597717
38,48.0,16.25,N131/3000,131.0,3000.0,5.0,15.0,11.88384134756823,11.01784582848147,1.0492939514490793,2.2944539026820623,0.0,237.39744529400843,212.3314249672147,1.2606632513061196,1.236211342950553,68474.96744618654,14525.90627390119,68323612.0021602,42014459.39121017,417.3083913335633,3.9876135171873828,798.8211469650269
